median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
49156.0,0.600189933523267,0.279279279279279,0.737529691211401,0.0889872173058014,High,Regular School,MI,2016-2017,48757,20.6
41071.0,0.287326668816511,0.321252059308072,0.514867617107943,0.0965829846582985,High,Regular School,TX,2016-2017,77038,23.6446886446886
63516.0,0.587233279540972,0.233998623537509,0.706508875739645,0.0850009179364788,High,Regular School,TX,2016-2017,76028,21.2026862026862
52070.0,0.56193425440686,0.296081277213353,0.822551928783383,0.0792866941015089,High,Regular School,OH,2016-2017,43076,22.0
37007.0,0.525547445255474,0.208695652173913,0.647294589178357,0.0752797558494405,High,Regular School,MO,2016-2017,65041,21.0
48809.0,0.457588560285993,0.243589743589744,0.551745254133497,0.0625630676084763,High,Regular School,PA,2016-2017,17740,20.6654456654457
33083.0,0.361814345991561,0.424698795180723,0.83651804670913,0.0943396226415094,High,Regular School,MI,2016-2017,49727,19.0
76037.0,0.611076016003369,0.460406750324535,0.768086816720257,0.104947526236882,High,Regular School,IL,2016-2017,60099,18.4
67012.0,0.499703615886189,0.302290076335878,0.818955042527339,0.0562009419152276,High,Regular School,MA,2016-2017,2370,21.1294261294261
46741.0,0.317425885755604,0.53475935828877,0.814307458143075,0.102564102564103,High,Regular School,TX,2016-2017,77533,17.3931623931624
49130.15045256941,0.5494256533311742,0.484486873508353,0.6106431602612995,0.104811246571997,High,Regular School,NY,2016-2017,11451,29.2124542124542
68371.0,0.83213644524237,0.255147717099373,0.525547445255474,0.0916844349680171,High,Regular School,WA,2016-2017,98125,23.4981684981685
61742.0,0.735150925024343,0.53270725388601,1.0,0.10485651214128,High,Regular School,NY,2016-2017,11229,19.9328449328449
123639.0,0.871398240824992,0.0793060718711276,0.931435212085997,0.0188076650106458,High,Regular School,MI,2016-2017,49301,23.1
50129.0,0.484955752212389,0.579216354344123,0.631294964028777,0.169996367598983,High,Regular School,PA,2016-2017,19079,17.0757020757021
25544.0,0.363457760314342,0.726896551724138,0.170234454638124,0.329345531315975,High,Regular School,MI,2016-2017,48224,13.6
29652.0,0.439241256668643,0.582983193277311,0.213213213213213,0.172555464256368,High,Regular School,FL,2016-2017,32114,20.3724053724054
24441.0,0.293755496921724,0.487864077669903,0.414285714285714,0.168817759421786,High,Regular School,TN,2016-2017,37091,18.6
62917.0,0.795256916996047,0.303735024665257,0.75046904315197,0.094606542882405,High,Regular School,MI,2016-2017,48081,20.0
37663.0,0.541666666666667,0.328301886792453,0.435051546391753,0.108558299827685,High,Regular School,MI,2016-2017,49858,18.7
84834.0,0.719320327249843,0.188132164531355,0.795380611581002,0.082018226272505,High,Regular School,OH,2016-2017,43026,24.0
52981.0,0.476930792377131,0.456470588235294,0.867822318526544,0.104542626011201,High,Regular School,MI,2016-2017,48416,21.2
38295.0,0.468288444830582,0.430232558139535,0.668131868131868,0.0994764397905759,High,Regular School,WI,2016-2017,54819,21.0
50649.0,0.673491975650249,0.425117924528302,0.483333333333333,0.0801201802704056,High,Regular School,DE,2016-2017,19904,17.034188034188
53897.0,0.63434798947764,0.227272727272727,0.819089207735496,0.0419880034275921,High,Regular School,WY,2016-2017,82420,19.0
61250.0,0.621196581196581,0.242016806722689,0.661754385964912,0.159807956104252,High,Regular School,WA,2016-2017,98373,21.5689865689866
17380.0,0.320099255583127,0.925266903914591,0.345172031076582,0.208770257387989,High,Regular School,LA,2016-2017,71254,16.8
24957.0,0.432318992654774,0.440347071583514,0.586291309669523,0.135240572171652,High,Regular School,NC,2016-2017,28675,20.6166056166056
38182.0,0.620830496936692,0.363920750782065,0.615611192930781,0.134357005758157,High,Regular School,WA,2016-2017,98532,22.5946275946276
57344.0,0.560397777127815,0.373318385650224,0.712244897959184,0.0705249841872233,High,Regular School,TX,2016-2017,76082,21.3980463980464
33631.0,0.378086956521739,0.647342995169082,0.497788697788698,0.137545126353791,High,Regular School,WI,2016-2017,53081,14.5
92533.0,0.815684315684316,0.0966921119592875,0.828877005347594,0.0953125,High,Regular School,MA,2016-2017,2537,21.984126984127
24000.0,0.527379400260756,0.780357142857143,0.482549317147193,0.141970519782777,High,Regular School,TX,2016-2017,77074,21.7643467643468
43057.0,0.601998621640248,0.6658521686011,0.488975356679637,0.116151202749141,High,Regular School,FL,2016-2017,34116,18.6385836385836
59737.0,0.582633053221289,0.0975609756097561,0.81149012567325,0.0650584795321637,High,Regular School,NJ,2016-2017,7823,21.031746031746
74741.0,0.653002517080187,0.223605577689243,0.862068965517241,0.0485516115871073,High,Regular School,MA,2016-2017,1701,23.1562881562882
28679.0,0.34887073522345,0.481159420289855,0.309859154929577,0.0436985433818873,High,Regular School,LA,2016-2017,70578,16.9
59688.0,0.431447225244831,0.247731397459165,0.674373795761079,0.0526315789473684,High,Regular School,IN,2016-2017,46392,20.6776556776557
106938.0,0.886940298507463,0.0888888888888889,0.768224299065421,0.0421940928270042,High,Regular School,WI,2016-2017,53183,24.0
46288.0,0.590231362467866,0.121085594989562,0.549597855227882,0.113023073914744,High,Regular School,PA,2016-2017,19530,21.9352869352869
37932.0,0.621536523929471,0.344727272727273,0.375846501128668,0.103299856527977,High,Regular School,WI,2016-2017,54401,21.9
27596.385704780543,0.4188926752577914,0.889632107023411,0.44039199424282777,0.15205643323833845,High,Regular School,IL,2016-2017,60615,17.7
63844.0,0.599599198396794,0.128065395095368,0.88198269079465,0.0335456475583864,High,Regular School,IN,2016-2017,47006,22.982905982906
35275.0,0.232635983263598,0.819117647058824,0.474376541518224,0.0762994754411063,High,Regular School,TX,2016-2017,75211,16.7826617826618
97386.0,0.760420650095602,0.211356466876972,0.7823945829486,0.0373344038538739,High,Regular School,OH,2016-2017,43147,22.0
19185.0,0.410348644161594,0.696052631578947,0.756493506493506,0.192415730337079,High,Regular School,KY,2016-2017,42647,18.1
61786.0,0.566521639569499,0.134185303514377,0.799820062977958,0.037862950058072,High,Regular School,WI,2016-2017,54217,22.8
73185.0,0.477523324851569,0.136363636363636,0.674858223062382,0.0321516900247321,High,Regular School,PA,2016-2017,19533,21.5445665445665
38225.0,0.370506912442396,0.359712230215827,0.480083857442348,0.0314769975786925,High,Regular School,TN,2016-2017,37061,19.2
37435.0,0.551401869158878,0.271375464684015,0.563577586206897,0.0809435707678076,High,Regular School,WI,2016-2017,54822,22.3
42421.0,0.524642289348172,0.424870466321244,0.591482649842271,0.0685169124024285,High,Regular School,OH,2016-2017,45368,21.0
54005.0,0.583443416996918,0.174331550802139,0.606255749770009,0.137020428500249,High,Regular School,MI,2016-2017,48451,20.1
42794.0,0.561074319352465,0.768736616702355,0.457956015523933,0.18039373242266,High,Regular School,NY,2016-2017,11225,17.1978021978022
42426.0,0.337708830548926,0.738823529411765,0.657725321888412,0.123004694835681,High,Regular School,LA,2016-2017,71411,16.4
175156.0,0.892314372557534,0.0307781649245064,0.866564417177914,0.0935815776580108,High,Regular School,NJ,2016-2017,8558,27.1367521367521
71285.0,0.467983243566726,0.201284796573876,0.806938159879336,0.0244845360824742,High,Regular School,IN,2016-2017,46382,20.3089133089133
65398.0,0.614003590664273,0.228699551569507,0.67965367965368,0.0690041029466617,High,Regular School,IL,2016-2017,62670,21.1
50707.0,0.286855482933914,0.625972762645914,0.529106029106029,0.140100071479628,High,Regular School,IL,2016-2017,60073,18.0
77006.0,0.793311403508772,0.0498507462686567,0.819620253164557,0.0534567434831885,High,Regular School,OH,2016-2017,45040,25.0
30991.0,0.172932330827068,0.696503496503497,0.425490196078431,0.102171136653895,High,Regular School,OH,2016-2017,43207,16.0
66250.0,0.718849840255591,0.146098849860118,0.71047619047619,0.0773519163763066,High,Regular School,IN,2016-2017,46373,21.4615384615385
70634.0,0.944552529182879,0.0,0.87719298245614,0.0230414746543779,High,Regular School,OH,2016-2017,43215,17.0
100865.0,0.935921918098875,0.144222415291051,0.92568578553616,0.0127895752895753,High,Regular School,OH,2016-2017,44321,23.0
42864.0,0.50079948832747,0.558794946550049,0.565771812080537,0.16066384180791,High,Regular School,WI,2016-2017,53404,19.0
